unit,geo,time,values
EUR_HAB,ES61,2021,18900
EUR_HAB,ES62,2021,21200
EUR_HAB,ES63,2021,21300
EUR_HAB,ES64,2021,19300
EUR_HAB,ES7,2021,19000
EUR_HAB,ES70,2021,19000
EUR_HAB,EU27_2020,2021,32400
EUR_HAB,FI,2021,45400
EUR_HAB,FI1,2021,45400
EUR_HAB,FI19,2021,40600
EUR_HAB,FI1B,2021,57900
EUR_HAB,FI1C,2021,40200
EUR_HAB,FI1D,2021,38400
EUR_HAB,FI2,2021,44100
EUR_HAB,FI20,2021,44100
EUR_HAB,FR,2021,36700
EUR_HAB,FR1,2021,61700
EUR_HAB,FR10,2021,61700
EUR_HAB,FRB,2021,30200
EUR_HAB,FRB0,2021,30200
EUR_HAB,FRC,2021,29100
EUR_HAB,FRC1,2021,30200
EUR_HAB,FRC2,2021,27500
EUR_HAB,FRD,2021,29700
EUR_HAB,FRD1,2021,28400
EUR_HAB,FRD2,2021,30700
EUR_HAB,FRE,2021,28900
EUR_HAB,FRE1,2021,30000
EUR_HAB,FRE2,2021,26700
EUR_HAB,FRF,2021,29800
EUR_HAB,FRF1,2021,33300
EUR_HAB,FRF2,2021,30200
EUR_HAB,FRF3,2021,26700
EUR_HAB,FRG,2021,32600
EUR_HAB,FRG0,2021,32600
EUR_HAB,FRH,2021,31600
EUR_HAB,FRH0,2021,31600
EUR_HAB,FRI,2021,31000
EUR_HAB,FRI1,2021,32400
EUR_HAB,FRI2,2021,27100
EUR_HAB,FRI3,2021,29800
EUR_HAB,FRJ,2021,29800
EUR_HAB,FRJ1,2021,27800
EUR_HAB,FRJ2,2021,31700
EUR_HAB,FRK,2021,35500
EUR_HAB,FRK1,2021,29400
EUR_HAB,FRK2,2021,36800
EUR_HAB,FRL,2021,35100
EUR_HAB,FRL0,2021,35100
EUR_HAB,FRM,2021,28900
EUR_HAB,FRM0,2021,28900
EUR_HAB,FRY,2021,20800
EUR_HAB,FRY1,2021,22900
EUR_HAB,FRY2,2021,25400
